                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90572,                 3.7664,                 1.3848,                  0.011,                0.86832,                0.06396,                0.04086,                0.85567,                 3.6645,                 1.3617,             0.00019155,             0.00019155,             0.00019155
                      2,                 0.8748,                 3.1655,                   1.37,                0.40201,                0.21682,                0.14202,                0.08959,                 1.0568,                 2.9251,                 1.5326,             0.00038371,             0.00038371,             0.00038371
                      3,                0.87634,                 2.7885,                 1.3341,                0.30596,                0.37458,                0.18147,                0.11424,                 1.0564,                 2.8216,                 1.5543,             0.00057199,             0.00057199,             0.00057199
                      4,                 0.8904,                 2.6535,                 1.3435,                0.63975,                 0.1803,                0.20537,                 0.1288,                 1.1296,                 2.9772,                 1.6378,             0.00057054,             0.00057054,             0.00057054
                      5,                0.88303,                 2.5087,                 1.3217,                0.45601,                0.33571,                0.29551,                0.18607,                 1.0403,                 2.4238,                 1.5191,             0.00057054,             0.00057054,             0.00057054
                      6,                0.87091,                 2.4059,                 1.3033,                  0.516,                0.27966,                0.25558,                0.18275,                 1.0267,                 2.3488,                  1.526,             0.00056472,             0.00056472,             0.00056472
                      7,                0.84375,                 2.2284,                 1.2783,                0.40697,                0.47439,                0.33074,                0.21336,                 1.0737,                 2.2858,                 1.5386,             0.00055889,             0.00055889,             0.00055889
                      8,                0.83027,                 2.1984,                 1.2731,                0.48095,                0.37879,                0.31029,                0.20956,                 1.0237,                  2.168,                 1.4678,             0.00055307,             0.00055307,             0.00055307
                      9,                0.78951,                 2.0975,                 1.2435,                 0.5775,                0.35232,                0.32937,                0.23005,                0.90013,                  2.116,                 1.3679,             0.00054725,             0.00054725,             0.00054725
                     10,                0.78245,                 2.0186,                 1.2274,                0.38954,                0.47844,                0.34952,                0.23597,                0.89477,                 2.1427,                 1.3223,             0.00054143,             0.00054143,             0.00054143
                     11,                0.76282,                 1.9308,                 1.2166,                0.45787,                0.43185,                 0.3706,                0.26208,                0.94611,                    2.2,                 1.3617,             0.00053561,             0.00053561,             0.00053561
                     12,                0.76328,                 1.9058,                 1.2137,                   0.43,                0.45993,                0.44133,                0.31602,                0.88667,                 1.8291,                 1.3418,             0.00052979,             0.00052979,             0.00052979
                     13,                0.71865,                 1.7772,                 1.1811,                0.56072,                0.42746,                0.44268,                0.32853,                0.85795,                 1.9103,                 1.2972,             0.00052397,             0.00052397,             0.00052397
                     14,                0.72021,                 1.7618,                 1.1819,                0.44652,                0.52589,                0.44832,                0.31166,                0.80315,                 2.0387,                 1.2412,             0.00051815,             0.00051815,             0.00051815
                     15,                0.70556,                 1.7307,                  1.174,                0.75751,                0.41356,                0.50909,                0.35851,                0.84503,                 1.7218,                 1.2812,             0.00051232,             0.00051232,             0.00051232
                     16,                0.70585,                 1.6443,                 1.1546,                0.55171,                0.43082,                0.49163,                0.32936,                0.91392,                 1.9913,                 1.3623,              0.0005065,              0.0005065,              0.0005065
                     17,                0.70826,                   1.62,                 1.1637,                0.60431,                0.47436,                0.52655,                0.39584,                 0.8157,                 1.7156,                 1.2287,             0.00050068,             0.00050068,             0.00050068
                     18,                 0.7118,                 1.5779,                 1.1544,                0.74842,                0.39728,                0.48601,                 0.3544,                0.84303,                 1.8345,                 1.2731,             0.00049486,             0.00049486,             0.00049486
                     19,                0.68499,                 1.5275,                 1.1441,                 0.6001,                 0.3829,                0.45941,                 0.3442,                 0.8458,                 1.7726,                 1.2772,             0.00048904,             0.00048904,             0.00048904
                     20,                0.67236,                 1.4585,                 1.1285,                0.57825,                0.54242,                0.57334,                0.41927,                0.80201,                 1.5623,                 1.2237,             0.00048322,             0.00048322,             0.00048322
                     21,                0.65494,                 1.4483,                 1.1317,                0.67801,                0.47682,                0.57865,                0.43212,                0.80305,                 1.5283,                 1.2282,              0.0004774,              0.0004774,              0.0004774
                     22,                0.65431,                 1.4118,                 1.1188,                0.56574,                0.60975,                0.56563,                0.42534,                0.82231,                 1.6744,                 1.2553,             0.00047158,             0.00047158,             0.00047158
                     23,                0.65261,                 1.3752,                 1.1254,                0.83338,                0.41292,                0.54179,                0.41132,                0.83411,                 1.7643,                 1.2592,             0.00046575,             0.00046575,             0.00046575
                     24,                0.65883,                 1.3928,                 1.1344,                0.52417,                0.56349,                0.54295,                0.40772,                  0.794,                 1.6035,                 1.2435,             0.00045993,             0.00045993,             0.00045993
                     25,                0.63849,                 1.3101,                 1.1135,                0.57445,                0.49634,                0.53252,                0.40621,                0.80537,                 1.6598,                  1.228,             0.00045411,             0.00045411,             0.00045411
                     26,                0.63873,                 1.3347,                 1.1188,                0.66259,                0.51499,                0.57203,                0.43727,                0.77761,                 1.5574,                  1.222,             0.00044829,             0.00044829,             0.00044829
                     27,                0.61781,                 1.2597,                 1.1054,                0.64014,                0.56498,                 0.5818,                0.45588,                0.79915,                 1.6343,                 1.2461,             0.00044247,             0.00044247,             0.00044247
                     28,                0.61854,                 1.2483,                 1.0944,                0.75325,                0.47464,                0.58687,                0.44967,                0.75423,                 1.6016,                 1.1909,             0.00043665,             0.00043665,             0.00043665
                     29,                0.60239,                 1.2266,                 1.0897,                0.52165,                0.51991,                0.54972,                0.43777,                0.75783,                 1.6162,                 1.1853,             0.00043083,             0.00043083,             0.00043083
                     30,                0.61212,                 1.1904,                 1.1031,                0.65981,                0.53509,                0.58087,                 0.4546,                0.82007,                 1.5319,                 1.2552,             0.00042501,             0.00042501,             0.00042501
                     31,                0.60361,                 1.1533,                  1.089,                0.64999,                0.55856,                0.59081,                0.45478,                0.81202,                  1.555,                 1.2432,             0.00041919,             0.00041919,             0.00041919
                     32,                 0.5984,                 1.1453,                 1.0798,                 0.6488,                0.63704,                0.71616,                0.56511,                0.74385,                 1.2733,                  1.176,             0.00041336,             0.00041336,             0.00041336
                     33,                0.58744,                 1.1539,                 1.0903,                0.62874,                0.58991,                0.64084,                0.47064,                0.81748,                 1.4824,                 1.2548,             0.00040754,             0.00040754,             0.00040754
                     34,                  0.584,                 1.0991,                  1.079,                0.67212,                0.57309,                0.62955,                0.48724,                0.81896,                 1.4937,                 1.3069,             0.00040172,             0.00040172,             0.00040172
                     35,                0.60144,                 1.1288,                 1.0912,                0.66332,                0.59571,                0.64175,                0.48916,                0.77263,                 1.4192,                 1.2048,              0.0003959,              0.0003959,              0.0003959
                     36,                0.56341,                 1.0655,                 1.0554,                0.69924,                0.56037,                0.65706,                0.50407,                0.77507,                 1.3171,                 1.2123,             0.00039008,             0.00039008,             0.00039008
                     37,                0.57902,                 1.0953,                 1.0726,                 0.7546,                0.50458,                0.65869,                0.52594,                0.75891,                 1.4848,                 1.1829,             0.00038426,             0.00038426,             0.00038426
                     38,                 0.5598,                 1.0443,                  1.047,                0.67628,                0.59843,                0.64643,                0.49157,                0.75116,                 1.2613,                  1.187,             0.00037844,             0.00037844,             0.00037844
                     39,                0.55891,                 1.0065,                 1.0597,                 0.7617,                0.59471,                0.68782,                0.53337,                0.72593,                  1.278,                 1.1647,             0.00037262,             0.00037262,             0.00037262
                     40,                0.55916,                0.99847,                 1.0505,                0.65628,                0.60915,                0.65128,                0.50246,                0.75765,                 1.3338,                 1.1859,             0.00036679,             0.00036679,             0.00036679
                     41,                0.55256,                0.99806,                 1.0471,                 0.6934,                  0.629,                0.66435,                0.53409,                0.76377,                  1.294,                 1.2203,             0.00036097,             0.00036097,             0.00036097
                     42,                0.56314,                0.98486,                 1.0554,                0.73047,                 0.5916,                0.65873,                0.50665,                0.73601,                 1.4563,                 1.1828,             0.00035515,             0.00035515,             0.00035515
                     43,                0.55748,                 1.0095,                 1.0607,                0.72093,                0.59319,                0.64048,                0.50216,                0.74355,                 1.3538,                 1.1817,             0.00034933,             0.00034933,             0.00034933
                     44,                0.56884,                0.99207,                 1.0643,                0.72419,                 0.6105,                0.65338,                0.49995,                0.74808,                  1.258,                 1.1725,             0.00034351,             0.00034351,             0.00034351
                     45,                0.54509,                 0.9367,                 1.0396,                0.65414,                0.63351,                0.69562,                0.55633,                0.72919,                  1.241,                 1.1728,             0.00033769,             0.00033769,             0.00033769
                     46,                0.54636,                0.94373,                 1.0444,                0.71237,                0.65122,                 0.6765,                0.54269,                0.69255,                 1.2147,                 1.1523,             0.00033187,             0.00033187,             0.00033187
                     47,                 0.5247,                0.92666,                 1.0377,                0.72225,                0.59511,                0.63456,                0.50159,                 0.7329,                 1.3703,                  1.167,             0.00032605,             0.00032605,             0.00032605
                     48,                0.54016,                0.92485,                 1.0459,                0.65897,                0.60869,                0.66344,                0.51678,                0.75364,                 1.3617,                    1.2,             0.00032022,             0.00032022,             0.00032022
                     49,                0.51537,                0.90114,                 1.0262,                0.72081,                 0.6098,                0.64099,                0.50283,                0.74344,                 1.4102,                 1.1856,              0.0003144,              0.0003144,              0.0003144
                     50,                0.51326,                0.86501,                 1.0246,                0.75617,                0.55481,                0.65012,                0.52541,                0.71057,                 1.2389,                 1.1569,             0.00030858,             0.00030858,             0.00030858
                     51,                0.51662,                0.86442,                 1.0334,                0.80572,                0.57132,                0.68221,                0.53951,                0.73081,                 1.1997,                 1.1832,             0.00030276,             0.00030276,             0.00030276
                     52,                0.50727,                  0.855,                 1.0184,                0.77578,                0.49998,                0.63888,                0.50191,                0.78527,                 1.3993,                 1.2645,             0.00029694,             0.00029694,             0.00029694
                     53,                0.51203,                0.85013,                 1.0324,                 0.7809,                0.62379,                0.70708,                0.56746,                0.68369,                 1.1877,                 1.1418,             0.00029112,             0.00029112,             0.00029112
                     54,                  0.525,                0.83465,                 1.0259,                0.71798,                0.60064,                 0.6558,                0.51121,                0.76721,                 1.3053,                 1.2087,              0.0002853,              0.0002853,              0.0002853
                     55,                0.50434,                0.82594,                 1.0253,                0.73031,                0.64601,                0.70583,                0.55768,                0.72746,                 1.2597,                 1.1825,             0.00027948,             0.00027948,             0.00027948
                     56,                0.49905,                0.81149,                 1.0103,                0.72451,                0.56588,                 0.6481,                0.50904,                0.73069,                 1.3212,                 1.1819,             0.00027366,             0.00027366,             0.00027366
                     57,                0.50825,                0.80942,                 1.0294,                0.74765,                0.60088,                0.67326,                0.52799,                0.75394,                  1.322,                 1.2113,             0.00026783,             0.00026783,             0.00026783
                     58,                 0.5058,                0.82881,                 1.0246,                0.78913,                0.59531,                0.66973,                0.54094,                0.68303,                  1.218,                 1.1536,             0.00026201,             0.00026201,             0.00026201
                     59,                0.48699,                0.81206,                 1.0088,                0.80756,                0.55528,                0.65963,                0.50294,                0.70733,                 1.2933,                 1.1638,             0.00025619,             0.00025619,             0.00025619
                     60,                0.49014,                0.76714,                 1.0159,                0.63816,                0.62467,                0.66484,                0.54257,                0.68628,                 1.2478,                 1.1508,             0.00025037,             0.00025037,             0.00025037
                     61,                0.48344,                0.74663,                  1.004,                0.65889,                0.59102,                0.64214,                0.51172,                0.72352,                 1.3464,                 1.1998,             0.00024455,             0.00024455,             0.00024455
